% nonlinear oscillator
%
% time (sec)       theta (rad)
766.72500626      -0.18549057
768.70708968      -0.16813178
770.66043893      -0.51874023
772.61290081       0.84242017
774.59542602       0.78255060
776.58085438      -0.56419284
778.53186298       0.52461052
780.48375791       0.45499657
782.46874031       0.48847477
784.45081941      -0.50958990
786.40416404       0.48925921
788.35662213      -0.01756763
790.33914259      -0.29373718
792.32456322       0.08855886
794.27556953       0.87096978
796.22746133      -0.24638874
798.21243642       0.31073351
800.19451118      -0.16918312
802.14785120      -0.28950664
804.10030551       0.16610231
806.08282123       0.08377717
808.06823413      -0.01376960
810.01923815       0.24658396
811.97112683      -0.21884255
813.95609462       0.50703597
815.93816506       0.33665103
817.89150046       0.23162948
819.84395099      -0.22393538
821.82646198       0.27680499
823.81186717      -0.22297143
825.76286889      -0.22901792
827.71475446      -0.05943747
829.69971495       0.39274601
831.68178107       0.16622425
833.63511187      -0.29202996
835.58755862      -0.50653038
837.57006488      -0.02658729
839.55546236      -0.19359508
841.50646180      -0.71663275
843.45834426       0.88848068
845.44329745      -0.03424217
847.42535926       0.17506931
849.37868546      -0.49335169
851.33112845       0.05509674
853.31362997       0.03878275
855.29901976      -0.85557266
857.25001692       0.68767706
859.20189626      -0.80269585
861.18684218      -0.09991573
863.16889967       0.54421590
865.12222128      -0.48276648
867.07466050       0.50120312
869.05715731       0.70838489
871.04253940       0.04015653
872.99353428      -0.86270556
874.94541052      -0.04081485
876.93034916       0.31916159
878.91240235       0.13520632
880.86571937      -0.30999034
882.81815483      -0.47806215
884.80064692      -0.36188523
886.78602134       0.08631401
888.73701394       0.17694562
890.68888707      -0.62193030
892.67381845       0.03824948
894.65586734       0.54152542
896.60917978       0.01855756
898.56161148      -0.20350379
900.54409886       1.16944834
902.52946560       0.09518807
904.48045593      -0.34100403
906.43232596       0.32004338
908.41725008      -0.72140605
910.39929468      -0.51587517
912.35260254      -0.08666627
914.30503048       0.53906335
916.28751316       0.21451215
918.27287224       0.37438004
920.22386029       0.18778763
922.17572723      -0.83451252
924.16064410       0.13825215
926.14268441      -0.10009196
928.09598770      -0.58826548
930.04841189      -0.56175451
932.03088987       0.34179331
934.01624129      -0.15887173
935.96722707       0.71532764
937.91909092       0.17024642
939.90400055       0.22505356
941.88603658      -0.41070356
943.83933529       0.12374615
945.79175574      -0.28227420
947.77422902      -0.89417132
949.75957281      -0.23521168
951.71055632       0.45290660
953.66241707       0.20049530
955.64731947      -0.01751786
957.62935122       0.26409473
959.58264537      -0.09121835
961.53506208      -0.81060316
963.51753067      -0.10638830
965.50286682      -1.47839935
967.45384806       0.29007872
969.40570573       0.73460890
971.39060091      -0.30037763
973.37262838       0.02999255
975.32591797       0.42753738
977.27833094       0.96567363
979.26079485       0.34019934
981.24612337      -0.26042069
983.19710236       0.49768651
985.14895694       0.36919515
987.13384490      -0.12838634
989.11586810      -0.14723546
991.06915314       0.34149258
993.02156238      -0.45467809
995.00402161       0.17547248
996.98934251      -0.62251677
998.94031923      -0.55274819
